"STATION","NAME","DATE","HLY-CLDH-NORMAL","HLY-CLOD-PCTBKN","HLY-CLOD-PCTCLR","HLY-CLOD-PCTOVC","HLY-DEWP-NORMAL","HLY-HTDH-NORMAL","HLY-PRES-NORMAL","HLY-TEMP-NORMAL","HLY-WIND-AVGSPD","HLY-WIND-VCTDIR"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T17:00:00","-777.7","216","133","407","23.8","27.4","1.0","37.6","13.4","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T18:00:00","-777.7","203","163","384","23.7","27.9","1.0","37.1","13.4","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T19:00:00","-777.7","183","197","408","23.6","28.2","1.0","36.8","13.4","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T20:00:00","-777.7","188","195","412","23.5","28.7","1.0","36.3","13.4","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T21:00:00","0.0","207","205","394","23.4","29.1","1.0","35.9","13.2","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T22:00:00","0.0","167","242","430","23.4","29.6","1.0","35.4","12.9","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T23:00:00","0.0","159","244","425","23.4","30.0","1.0","35.0","12.8","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T00:00:00","0.0","152","256","424","22.3","31.3","1.0","33.7","12.9","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T01:00:00","0.0","134","263","440","23.3","30.7","1.0","34.3","12.5","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T02:00:00","0.0","155","272","429","23.2","31.0","1.0","34.0","12.5","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T03:00:00","0.0","153","272","436","23.1","31.3","1.0","33.7","12.3","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T04:00:00","0.0","146","261","450","23.2","31.5","1.0","33.5","12.2","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T05:00:00","0.0","142","243","448","23.1","31.7","1.0","33.3","12.0","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T06:00:00","0.0","131","197","457","23.0","31.9","1.0","33.1","12.0","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T07:00:00","0.0","216","123","415","23.1","31.9","1.0","33.1","12.0","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T08:00:00","0.0","253","106","425","23.0","31.8","1.0","33.2","12.4","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T09:00:00","0.0","242","112","435","23.1","31.1","1.0","33.9","12.9","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T10:00:00","-777.7","247","121","415","23.2","30.2","1.0","34.8","13.0","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T11:00:00","-777.7","235","138","420","23.4","29.1","1.0","35.9","13.4","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T12:00:00","-777.7","269","131","425","23.5","28.2","1.0","36.9","13.5","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T13:00:00","-777.7","232","133","436","23.7","27.3","1.0","37.7","13.8","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T14:00:00","-777.7","245","115","431","23.7","26.7","1.0","38.3","13.7","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T15:00:00","-777.7","238","117","420","23.7","26.5","1.0","38.5","13.8","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T16:00:00","-777.7","223","137","421","23.7","26.7","1.0","38.3","13.5","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T17:00:00","-777.7","217","128","413","23.8","27.4","1.0","37.6","13.4","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T18:00:00","-777.7","205","162","387","23.5","28.0","1.0","37.0","13.4","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T19:00:00","-777.7","199","201","400","23.4","28.3","1.0","36.7","13.4","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T20:00:00","-777.7","192","190","412","23.3","28.8","1.0","36.2","13.4","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T21:00:00","0.0","214","203","394","23.3","29.2","1.0","35.8","13.2","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T22:00:00","0.0","170","240","434","23.2","29.7","1.0","35.3","13.0","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-02T23:00:00","0.0","166","231","429","23.3","30.1","1.0","34.9","12.8","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T00:00:00","0.0","148","247","431","22.2","31.4","1.0","33.6","12.8","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T01:00:00","0.0","129","256","449","23.1","30.8","1.0","34.2","12.5","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T02:00:00","0.0","155","268","430","23.0","31.1","1.0","33.9","12.4","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T03:00:00","0.0","149","268","441","23.0","31.4","1.0","33.6","12.2","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T04:00:00","0.0","140","253","458","23.1","31.6","1.0","33.4","12.1","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T05:00:00","0.0","142","239","449","23.0","31.8","1.0","33.2","12.0","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T06:00:00","0.0","138","193","460","22.9","31.9","1.0","33.1","12.1","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T07:00:00","0.0","214","123","417","23.0","32.0","1.0","33.0","12.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T08:00:00","0.0","257","100","420","22.9","31.8","1.0","33.2","12.5","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T09:00:00","0.0","236","106","435","23.0","31.2","1.0","33.8","12.9","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T10:00:00","-777.7","252","119","404","23.1","30.3","1.0","34.8","13.1","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T11:00:00","-777.7","247","136","412","23.4","29.2","1.0","35.8","13.4","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T12:00:00","-777.7","266","124","433","23.4","28.3","1.0","36.7","13.5","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T13:00:00","-777.7","240","129","429","23.6","27.4","1.0","37.6","13.6","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T14:00:00","-777.7","251","115","422","23.5","26.8","1.0","38.2","13.6","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T15:00:00","-777.7","232","119","419","23.5","26.6","1.0","38.4","13.7","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T16:00:00","-777.7","223","140","418","23.6","26.8","1.0","38.2","13.5","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T17:00:00","-777.7","217","126","415","23.7","27.5","1.0","37.5","13.4","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T18:00:00","-777.7","203","162","394","23.5","28.1","1.0","37.0","13.3","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T19:00:00","-777.7","196","196","397","23.4","28.4","1.0","36.6","13.2","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T20:00:00","-777.7","192","187","411","23.3","28.8","1.0","36.2","13.2","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T21:00:00","0.0","200","204","404","23.2","29.3","1.0","35.7","12.9","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T22:00:00","0.0","172","239","438","23.2","29.7","1.0","35.3","12.8","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-03T23:00:00","0.0","168","231","430","23.2","30.1","1.0","34.9","12.6","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T00:00:00","0.0","142","247","431","22.4","31.4","1.0","33.6","12.8","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T01:00:00","0.0","127","256","447","23.0","30.9","1.0","34.1","12.5","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T02:00:00","0.0","153","267","431","22.9","31.2","1.0","33.8","12.3","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T03:00:00","0.0","148","262","444","22.9","31.5","1.0","33.5","12.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T04:00:00","0.0","137","248","462","23.0","31.8","1.0","33.2","12.0","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T05:00:00","0.0","145","233","452","23.0","31.9","1.0","33.1","12.0","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T06:00:00","0.0","148","198","457","22.9","32.0","1.0","33.0","12.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T07:00:00","0.0","205","123","421","22.9","32.1","1.0","32.9","12.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T08:00:00","0.0","248","100","427","22.8","31.9","1.0","33.1","12.4","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T09:00:00","0.0","233","104","440","22.9","31.2","1.0","33.8","12.9","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T10:00:00","-777.7","252","121","407","23.0","30.3","1.0","34.7","13.0","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T11:00:00","-777.7","242","131","415","23.3","29.3","1.0","35.7","13.5","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T12:00:00","-777.7","257","124","442","23.3","28.4","1.0","36.6","13.6","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T13:00:00","-777.7","226","120","438","23.5","27.5","1.0","37.5","13.7","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T14:00:00","-777.7","242","111","427","23.5","27.0","1.0","38.1","13.6","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T15:00:00","-777.7","238","114","415","23.4","26.7","1.0","38.3","13.7","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T16:00:00","-777.7","223","138","413","23.5","26.9","1.0","38.1","13.6","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T17:00:00","-777.7","217","126","406","23.6","27.6","1.0","37.4","13.6","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T18:00:00","-777.7","203","160","387","23.3","28.2","1.0","36.8","13.3","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T19:00:00","-777.7","196","203","393","23.2","28.5","1.0","36.5","13.2","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T20:00:00","-777.7","184","196","409","23.2","29.0","1.0","36.0","13.3","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T21:00:00","0.0","197","215","397","23.0","29.4","1.0","35.6","13.0","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T22:00:00","0.0","158","251","438","23.0","29.9","1.0","35.1","13.0","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-04T23:00:00","0.0","164","242","424","23.0","30.3","1.0","34.7","12.8","305"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T00:00:00","0.0","146","258","424","22.0","31.6","1.0","33.4","13.0","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T01:00:00","0.0","133","269","437","22.8","31.1","1.0","33.9","12.7","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T02:00:00","0.0","144","276","429","22.7","31.4","1.0","33.6","12.5","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T03:00:00","0.0","143","271","442","22.7","31.6","1.0","33.4","12.3","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T04:00:00","0.0","137","255","457","22.8","31.9","1.0","33.1","12.2","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T05:00:00","0.0","147","238","452","22.7","32.1","1.0","32.9","12.2","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T06:00:00","0.0","150","194","456","22.6","32.2","1.0","32.8","12.3","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T07:00:00","0.0","208","130","423","22.6","32.3","1.0","32.7","12.3","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T08:00:00","0.0","252","105","425","22.6","32.2","1.0","32.8","12.6","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T09:00:00","0.0","226","111","438","22.6","31.5","1.0","33.5","13.0","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T10:00:00","-777.7","247","126","402","22.8","30.6","1.0","34.4","13.2","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T11:00:00","-777.7","239","133","409","23.1","29.6","1.0","35.5","13.7","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T12:00:00","-777.7","247","124","441","23.1","28.7","1.0","36.3","13.7","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T13:00:00","-777.7","217","124","431","23.3","27.8","1.0","37.2","13.8","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T14:00:00","-777.7","235","120","423","23.3","27.2","1.0","37.8","13.7","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T15:00:00","-777.7","234","121","407","23.2","27.0","1.0","38.1","13.8","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T16:00:00","-777.7","218","145","404","23.3","27.2","1.0","37.8","13.7","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T17:00:00","-777.7","216","131","390","23.4","27.9","1.0","37.1","13.5","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T18:00:00","-777.7","205","167","372","23.1","28.5","1.0","36.6","13.2","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T19:00:00","-777.7","195","206","387","23.0","28.8","1.0","36.2","13.1","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T20:00:00","-777.7","184","198","402","23.0","29.2","1.0","35.8","13.2","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T21:00:00","0.0","193","220","398","22.8","29.7","1.0","35.3","13.1","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T22:00:00","0.0","156","252","440","22.8","30.2","1.0","34.8","12.9","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-05T23:00:00","0.0","158","245","432","22.8","30.6","1.0","34.4","12.7","306"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T00:00:00","0.0","148","261","431","21.8","31.9","1.0","33.1","12.9","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T01:00:00","0.0","136","274","440","22.5","31.3","1.0","33.7","12.6","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T02:00:00","0.0","143","281","432","22.5","31.6","1.0","33.4","12.5","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T03:00:00","0.0","133","274","452","22.5","31.8","1.0","33.2","12.2","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T04:00:00","0.0","131","260","462","22.6","32.1","1.0","32.9","12.2","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T05:00:00","0.0","145","243","457","22.5","32.3","1.0","32.7","12.2","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T06:00:00","0.0","153","200","453","22.3","32.4","1.0","32.6","12.2","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T07:00:00","0.0","207","131","431","22.4","32.5","1.0","32.5","12.2","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T08:00:00","0.0","249","107","425","22.4","32.4","1.0","32.6","12.6","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T09:00:00","0.0","222","113","440","22.4","31.7","1.0","33.3","13.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T10:00:00","-777.7","237","131","406","22.7","30.8","1.0","34.2","13.2","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T11:00:00","-777.7","231","140","414","22.9","29.7","1.0","35.3","13.8","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T12:00:00","-777.7","234","130","443","23.0","28.8","1.0","36.2","13.8","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T13:00:00","-777.7","213","130","426","23.2","27.9","1.0","37.1","13.9","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T14:00:00","-777.7","233","124","421","23.2","27.4","1.0","37.7","13.8","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T15:00:00","-777.7","239","128","399","23.1","27.1","1.0","37.9","13.9","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T16:00:00","-777.7","218","155","398","23.1","27.3","1.0","37.7","13.9","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T17:00:00","-777.7","215","143","385","23.2","28.0","1.0","37.0","13.7","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T18:00:00","-777.7","210","185","363","22.9","28.6","1.0","36.4","13.3","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T19:00:00","0.0","202","218","381","22.8","29.0","1.0","36.0","13.3","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T20:00:00","0.0","182","206","404","22.8","29.5","1.0","35.5","13.3","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T21:00:00","0.0","198","229","398","22.6","29.9","1.0","35.1","13.1","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T22:00:00","0.0","156","260","439","22.6","30.4","1.0","34.6","13.0","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-06T23:00:00","0.0","160","248","423","22.5","30.9","1.0","34.1","12.7","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T00:00:00","0.0","146","266","430","21.2","32.3","1.0","32.7","13.1","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T01:00:00","0.0","132","274","440","22.3","31.6","1.0","33.4","12.6","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T02:00:00","0.0","133","282","438","22.2","31.9","1.0","33.1","12.4","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T03:00:00","0.0","124","281","454","22.2","32.1","1.0","32.9","12.3","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T04:00:00","0.0","131","262","464","22.3","32.4","1.0","32.6","12.3","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T05:00:00","0.0","145","245","459","22.2","32.6","1.0","32.4","12.2","316"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T06:00:00","0.0","147","204","460","22.1","32.7","1.0","32.3","12.2","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T07:00:00","0.0","205","129","433","22.1","32.8","1.0","32.2","12.2","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T08:00:00","0.0","248","109","431","22.2","32.7","1.0","32.3","12.5","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T09:00:00","0.0","211","114","448","22.3","32.0","1.0","33.0","13.0","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T10:00:00","-777.7","226","131","415","22.5","31.1","1.0","33.9","13.1","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T11:00:00","-777.7","226","138","422","22.8","30.0","1.0","35.0","13.6","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T12:00:00","-777.7","231","129","452","22.9","29.1","1.0","35.9","13.7","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T13:00:00","-777.7","212","127","439","23.0","28.2","1.0","36.8","13.7","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T14:00:00","-777.7","222","118","434","23.1","27.5","1.0","37.5","13.6","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T15:00:00","-777.7","227","124","416","23.1","27.3","1.0","37.7","13.8","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T16:00:00","-777.7","216","148","411","23.0","27.5","1.0","37.5","13.8","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T17:00:00","-777.7","212","138","395","23.1","28.2","1.0","36.8","13.6","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T18:00:00","-777.7","212","174","375","22.8","28.8","1.0","36.2","13.3","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T19:00:00","0.0","198","200","392","22.8","29.2","1.0","35.8","13.3","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T20:00:00","0.0","179","199","418","22.7","29.6","1.0","35.4","13.3","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T21:00:00","0.0","200","222","411","22.6","30.1","1.0","34.9","13.1","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T22:00:00","0.0","167","244","446","22.6","30.6","1.0","34.4","13.1","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-07T23:00:00","0.0","165","238","434","22.5","31.0","1.0","34.0","12.8","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T00:00:00","0.0","137","257","448","21.2","32.5","1.0","32.5","13.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T01:00:00","0.0","129","261","449","22.3","31.8","1.0","33.2","12.7","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T02:00:00","0.0","134","272","449","22.2","32.1","1.0","32.9","12.6","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T03:00:00","0.0","120","278","465","22.2","32.3","1.0","32.7","12.3","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T04:00:00","0.0","129","256","469","22.3","32.6","1.0","32.4","12.4","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T05:00:00","0.0","155","239","458","22.2","32.8","1.0","32.2","12.4","316"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T06:00:00","0.0","157","200","459","22.1","32.9","1.0","32.1","12.3","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T07:00:00","0.0","205","127","435","22.1","33.0","1.0","32.0","12.4","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T08:00:00","0.0","244","107","440","22.2","32.9","1.0","32.1","12.6","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T09:00:00","0.0","195","111","464","22.2","32.2","1.0","32.8","13.1","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T10:00:00","-777.7","226","131","418","22.4","31.3","1.0","33.7","13.2","315"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T11:00:00","-777.7","228","133","415","22.7","30.2","1.0","34.8","13.7","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T12:00:00","-777.7","236","122","447","22.8","29.3","1.0","35.7","13.8","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T13:00:00","-777.7","219","122","434","22.9","28.4","1.0","36.6","13.9","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T14:00:00","-777.7","236","113","420","22.9","27.8","1.0","37.2","13.8","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T15:00:00","-777.7","227","122","414","22.8","27.6","1.0","37.4","14.0","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T16:00:00","-777.7","225","143","409","22.7","27.8","1.0","37.2","14.1","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T17:00:00","-777.7","226","135","388","22.8","28.5","1.0","36.5","13.9","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T18:00:00","-777.7","219","169","370","22.5","29.1","1.0","35.9","13.5","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T19:00:00","0.0","212","198","383","22.4","29.5","1.0","35.5","13.5","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T20:00:00","0.0","186","199","414","22.3","30.0","1.0","35.0","13.5","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T21:00:00","0.0","209","222","409","22.2","30.5","1.0","34.5","13.2","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T22:00:00","0.0","172","239","442","22.1","31.0","1.0","34.0","13.2","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-08T23:00:00","0.0","169","233","436","22.0","31.4","1.0","33.6","12.9","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-09T00:00:00","0.0","131","245","453","20.9","32.9","1.0","32.1","13.3","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-09T01:00:00","0.0","134","254","447","21.9","32.1","1.0","32.9","13.0","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-09T02:00:00","0.0","125","270","454","21.8","32.4","1.0","32.6","12.8","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-09T03:00:00","0.0","120","275","458","21.8","32.6","1.0","32.4","12.5","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-09T04:00:00","0.0","127","261","467","21.9","32.9","1.0","32.1","12.6","315"
